Package,Class Name,Modifier,Mehtod Name,Cause
bankware.corebanking.accounting.service,CashSndRcvMgmtSvc,public,inquiryCashSndRcvList,inquiry가 등록된 동사가 아님
bankware.corebanking.accounting.service,CashSndRcvMgmtSvc,private,_setCashSndRcvMgmtSvcGetCashSndRcvOut,svc가 등록된 약어나 영문명이 아님
bankware.corebanking.accounting.service,ClsgPrsntStsinqrySvc,public,inquiryClsgPrsntSts,inquiry가 등록된 동사가 아님
bankware.corebanking.accounting.service,StaffCashMgmtSvc,public,getStaffCashCountLst,lst가 등록된 약어나 영문명이 아님
bankware.corebanking.accounting.service,BillCtgryCashMgmtSvc,public,inquiryBillCtgryCashList,inquiry가 등록된 동사가 아님
bankware.corebanking.accounting.service,StaffTxMgmtSvc,public,getStaffTxHLst,h가 등록된 약어나 영문명이 아님
bankware.corebanking.accounting.service,StaffTxMgmtSvc,private,_getStaffTxMgmtSvc01OutSub1,svc01가 등록된 약어나 영문명이 아님
bankware.corebanking.accounting.service,StaffTxMgmtSvc,private,_additionalLogic,additional가 등록된 동사가 아님
bankware.corebanking.accounting.service,TlrClsMgmtSvc,public,saveTrlClsg,trl가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.dao,ArArrSrvcClassR,,selectListByArrSrv,srv가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorCustLiquidationImpl,public,doIt,it가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorCustLegalManagementImpl,public,doIt,it가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorCustCompositionImpl,public,doIt,it가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcCntrImpl,private,validate,private method가 '-'으로 시작하지 않았음
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorCustIncompetentImpl,public,doIt,it가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorArrOverdueImpl,public,doIt,it가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorCustWalkoutImpl,public,doIt,it가 등록된 약어나 영문명이 아님
bankware.corebanking.arrangement.arrangementcontrol.business.servicevalidation,ArrSrvcValidatorCustUnderLiquidationPrcsImpl,public,doIt,it가 등록된 약어나 영문명이 아님
